query,ai_engine,model,timestamp,response_length,response_quality,total_citations,your_brand_mentioned,competitors_mentioned,total_brands_mentioned,contains_recommendations,contains_specific_products,mention_context,top_competitors
best mineral sunscreen 2024,openai,gpt-4,2025-09-03T18:38:48.651637,2738,0.9000000000000001,9,False,4,4,True,True,,"blue lizard, coola, eltamd"
best mineral sunscreen 2024,openai,gpt-3.5-turbo,2025-09-03T18:38:37.853018,2608,0.7,2,False,2,2,True,True,,"coola, eltamd"
best mineral sunscreen 2024,anthropic,claude-3-5-sonnet-20241022,2025-09-03T18:38:42.713533,2190,0.7,2,False,2,2,True,False,,"neutrogena, cerave"
best mineral sunscreen 2024,google,gemini-1.5-pro,2025-09-03T18:38:46.197165,4323,0.9000000000000001,7,False,6,6,True,True,,"blue lizard, thinksport, all good"
top rated zinc oxide sunscreen,openai,gpt-4,2025-09-03T18:38:58.693432,2459,0.9000000000000001,13,False,5,5,True,True,,"blue lizard, thinksport, neutrogena"
top rated zinc oxide sunscreen,openai,gpt-3.5-turbo,2025-09-03T18:38:43.417076,2308,0.9000000000000001,4,False,4,4,True,True,,"blue lizard, cerave, badger"
top rated zinc oxide sunscreen,anthropic,claude-3-5-sonnet-20241022,2025-09-03T18:39:00.432658,2781,0.9000000000000001,5,False,5,5,True,False,,"cerave, neutrogena, supergoop"
top rated zinc oxide sunscreen,google,gemini-1.5-pro,2025-09-03T18:38:59.135014,4110,0.9000000000000001,5,False,5,5,True,True,,"blue lizard, thinkbaby, supergoop"
mineral powder sunscreen recommendations,openai,gpt-4,2025-09-03T18:39:04.942315,2576,0.8,3,False,1,1,True,True,,supergoop
mineral powder sunscreen recommendations,openai,gpt-3.5-turbo,2025-09-03T18:38:53.138159,2232,0.7,2,True,1,2,True,False,"**Brush On Block Mineral Sunscreen SPF 30**: This mineral powder sunscreen comes in a convenient brush-on applicator, making it easy to apply on the go",mineral fusion
mineral powder sunscreen recommendations,anthropic,claude-3-5-sonnet-20241022,2025-09-03T18:39:05.383634,1732,0.6000000000000001,1,False,1,1,True,True,,supergoop
mineral powder sunscreen recommendations,google,gemini-1.5-pro,2025-09-03T18:39:14.336632,4150,0.7,2,True,1,2,True,False,"Here's a breakdown of recommended mineral powder sunscreens categorized by skin type and needs:

**For Sensitive Skin:**

* **Brand:** Brush On Block®
* **Product:** Mineral Powder Sunscreen SPF 30
* **Ingredients:** Titanium Dioxide (12%) and Zinc Oxide (12%)
* **Benefits:** Gentle formula, fragrance-free, talc-free, and water-resistant (80 minutes)",supergoop
best reef safe sunscreen,openai,gpt-4,2025-09-03T18:39:10.914731,1701,0.9000000000000001,8,False,4,4,True,True,,"blue lizard, thinksport, badger"
best reef safe sunscreen,openai,gpt-3.5-turbo,2025-09-03T18:39:04.323816,1945,0.9000000000000001,4,False,4,4,True,False,,"sun bum, thinksport, badger"
best reef safe sunscreen,anthropic,claude-3-5-sonnet-20241022,2025-09-03T18:39:21.260901,2483,0.9000000000000001,4,False,4,4,True,True,,"stream2sea, thinksport, badger"
best reef safe sunscreen,google,gemini-1.5-pro,2025-09-03T18:39:20.178705,3337,0.9000000000000001,7,False,7,7,True,True,,"blue lizard, thinksport, thinkbaby"
dermatologist recommended mineral sunscreen,openai,gpt-4,2025-09-03T18:39:24.901438,2799,0.9000000000000001,10,False,4,4,True,True,,"blue lizard, coola, eltamd"
dermatologist recommended mineral sunscreen,openai,gpt-3.5-turbo,2025-09-03T18:39:19.037528,2448,0.9000000000000001,5,False,4,4,True,True,,"aveeno, cerave, supergoop"
dermatologist recommended mineral sunscreen,anthropic,claude-3-5-sonnet-20241022,2025-09-03T18:39:26.889944,2033,0.8,3,False,3,3,True,False,,"neutrogena, cerave, eltamd"
dermatologist recommended mineral sunscreen,google,gemini-1.5-pro,2025-09-03T18:39:34.471059,4002,0.9000000000000001,6,False,5,5,True,True,,"cerave, thinkbaby, supergoop"
best mineral sunscreen for face,openai,gpt-4,2025-09-03T18:39:35.971403,2122,0.9000000000000001,8,False,3,3,True,True,,"blue lizard, eltamd, neutrogena"
best mineral sunscreen for face,openai,gpt-3.5-turbo,2025-09-03T18:39:25.055434,2292,0.8,3,False,3,3,True,True,,"aveeno, cerave, eltamd"
best mineral sunscreen for face,anthropic,claude-3-5-sonnet-20241022,2025-09-03T18:39:39.445065,2354,0.9000000000000001,4,False,4,4,True,False,,"neutrogena, cerave, supergoop"
best mineral sunscreen for face,google,gemini-1.5-pro,2025-09-03T18:39:42.987106,4198,0.9000000000000001,4,False,4,4,True,True,,"blue lizard, cerave, supergoop"
high SPF mineral sunscreen,openai,gpt-4,2025-09-03T18:39:46.033312,2434,0.9000000000000001,7,False,4,4,True,True,,"blue lizard, cerave, eltamd"
high SPF mineral sunscreen,openai,gpt-3.5-turbo,2025-09-03T18:39:38.097463,2070,0.7,2,False,2,2,True,True,,"cerave, eltamd"
high SPF mineral sunscreen,anthropic,claude-3-5-sonnet-20241022,2025-09-03T18:39:47.609455,1667,0.8,3,False,3,3,True,False,,"neutrogena, cerave, eltamd"
high SPF mineral sunscreen,google,gemini-1.5-pro,2025-09-03T18:39:53.042474,3816,0.9000000000000001,5,False,5,5,True,True,,"blue lizard, thinksport, thinkbaby"
mineral sunscreen for sensitive skin,openai,gpt-4,2025-09-03T18:39:52.163815,2160,0.9000000000000001,8,False,4,4,True,True,,"blue lizard, coola, eltamd"
mineral sunscreen for sensitive skin,openai,gpt-3.5-turbo,2025-09-03T18:39:56.671900,2326,0.8,3,False,3,3,True,True,,"cerave, badger, eltamd"
mineral sunscreen for sensitive skin,anthropic,claude-3-5-sonnet-20241022,2025-09-03T18:39:59.744074,2036,0.8,3,False,2,2,True,False,,"cerave, eltamd"
mineral sunscreen for sensitive skin,google,gemini-1.5-pro,2025-09-03T18:40:02.389388,4176,0.9000000000000001,6,False,5,5,True,True,,"blue lizard, cerave, thinkbaby"
best chemical free sunscreen,openai,gpt-4,2025-09-03T18:40:09.085082,2730,0.9000000000000001,7,False,4,4,True,True,,"blue lizard, coola, eltamd"
best chemical free sunscreen,openai,gpt-3.5-turbo,2025-09-03T18:39:56.942195,1981,0.9000000000000001,4,False,4,4,True,False,,"coola, thinksport, badger"
best chemical free sunscreen,anthropic,claude-3-5-sonnet-20241022,2025-09-03T18:40:10.672794,2007,0.9000000000000001,5,False,5,5,True,False,,"blue lizard, cerave, thinksport"
best chemical free sunscreen,google,gemini-1.5-pro,2025-09-03T18:40:11.853278,3833,0.9000000000000001,6,False,5,5,True,True,,"blue lizard, all good, thinkbaby"
organic mineral sunscreen brands,openai,gpt-4,2025-09-03T18:40:17.844904,2859,0.9000000000000001,8,False,3,3,True,True,,"coola, thinksport, badger"
organic mineral sunscreen brands,openai,gpt-3.5-turbo,2025-09-03T18:40:07.852165,2165,0.9000000000000001,4,False,4,4,True,False,,"blue lizard, thinksport, badger"
organic mineral sunscreen brands,anthropic,claude-3-5-sonnet-20241022,2025-09-03T18:40:19.248663,1549,0.7,2,False,2,2,True,False,,"coola, badger"
organic mineral sunscreen brands,google,gemini-1.5-pro,2025-09-03T18:40:24.371986,4099,0.9000000000000001,7,False,6,6,True,True,,"blue lizard, all good, thinkbaby"
luxury mineral sunscreen products,openai,gpt-4,2025-09-03T18:40:22.406031,2078,0.9000000000000001,4,False,2,2,True,True,,"supergoop, eltamd"
luxury mineral sunscreen products,openai,gpt-3.5-turbo,2025-09-03T18:40:18.806951,2141,0.7,2,False,2,2,True,False,,"drunk elephant, supergoop"
luxury mineral sunscreen products,anthropic,claude-3-5-sonnet-20241022,2025-09-03T18:40:33.640661,2718,0.5,0,False,26,26,True,False,,"usage tips, chantecaille ultra sun, broad spectrum"
luxury mineral sunscreen products,google,gemini-1.5-pro,2025-09-03T18:40:33.617300,3895,0.9000000000000001,4,False,4,4,True,True,,"sun bum, coola, thinkbaby"
affordable mineral sunscreen options,openai,gpt-4,2025-09-03T18:40:43.864001,2352,0.9000000000000001,8,False,4,4,True,True,,"aveeno, blue lizard, cerave"
affordable mineral sunscreen options,openai,gpt-3.5-turbo,2025-09-03T18:40:28.923199,2215,0.8,3,False,3,3,True,True,,"aveeno, neutrogena, cerave"
affordable mineral sunscreen options,anthropic,claude-3-5-sonnet-20241022,2025-09-03T18:40:35.910505,1766,0.8,3,False,3,3,True,False,,"blue lizard, cerave, neutrogena"
affordable mineral sunscreen options,google,gemini-1.5-pro,2025-09-03T18:40:45.469156,4225,0.9000000000000001,6,False,6,6,True,True,,"sun bum, blue lizard, cerave"
travel size mineral sunscreen,openai,gpt-4,2025-09-03T18:40:59.863103,3218,0.9000000000000001,15,False,4,4,True,True,,"blue lizard, coola, supergoop"
travel size mineral sunscreen,openai,gpt-3.5-turbo,2025-09-03T18:40:36.753538,1873,0.9000000000000001,5,False,3,3,True,True,,"coola, supergoop, bare republic"
travel size mineral sunscreen,anthropic,claude-3-5-sonnet-20241022,2025-09-03T18:40:47.978383,1588,0.8,3,False,3,3,True,False,,"neutrogena, cerave, supergoop"
travel size mineral sunscreen,google,gemini-1.5-pro,2025-09-03T18:40:51.382894,3561,0.9000000000000001,5,False,5,5,True,True,,"sun bum, thinkbaby, supergoop"
waterproof mineral sunscreen,openai,gpt-4,2025-09-03T18:40:55.023942,2190,0.9000000000000001,8,False,5,5,True,True,,"blue lizard, thinksport, coola"
waterproof mineral sunscreen,openai,gpt-3.5-turbo,2025-09-03T18:40:48.630248,1876,0.9000000000000001,4,False,4,4,True,False,,"blue lizard, coola, badger"
waterproof mineral sunscreen,anthropic,claude-3-5-sonnet-20241022,2025-09-03T18:41:03.892650,2642,0.9000000000000001,8,False,5,5,True,True,,"blue lizard, cerave, thinksport"
waterproof mineral sunscreen,google,gemini-1.5-pro,2025-09-03T18:41:03.362449,3754,0.9000000000000001,5,False,5,5,True,True,,"sun bum, blue lizard, thinksport"
tinted mineral sunscreen powder,openai,gpt-4,2025-09-03T18:41:05.884561,2523,0.9000000000000001,4,False,1,1,True,False,,supergoop
tinted mineral sunscreen powder,openai,gpt-3.5-turbo,2025-09-03T18:40:58.988033,2250,0.7,2,False,1,1,True,False,,supergoop
tinted mineral sunscreen powder,anthropic,claude-3-5-sonnet-20241022,2025-09-03T18:41:11.526271,1617,0.5,0,False,14,14,True,False,,"protection brush, mineral brush powder, important considerations"
tinted mineral sunscreen powder,google,gemini-1.5-pro,2025-09-03T18:41:15.271579,4015,0.9000000000000001,4,True,2,3,True,True,"* **Brush On Block Mineral Powder Sunscreen SPF 30:** Available in multiple shades, including Beige and Tan, this brush-on powder provides a good option for medium to deep skin tones","supergoop, eltamd"
mineral sunscreen that doesn't leave white cast,openai,gpt-4,2025-09-03T18:41:23.067480,2377,0.9000000000000001,4,False,2,2,True,True,,"supergoop, eltamd"
